,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
3,HOPE,2019-12-31,0,2019-12-31,15667440000.0,2019-12-31,2036011000.0,2019-12-31,-13217000.0
0,WIFI,2020-09-30,-729000,2020-09-30,578416000.0,2020-09-30,82757000.0,2020-09-30,-417000.0
1,WIFI,2020-06-30,-1334000,2020-06-30,692008000.0,2020-06-30,84095000.0,2020-06-30,-472000.0
2,WIFI,2020-03-31,-2585000,2020-03-31,703090000.0,2020-03-31,88001000.0,2020-03-31,-461000.0
3,WIFI,2019-12-31,-1688000,2019-12-31,600467000.0,2019-12-31,92243000.0,2019-12-31,-297000.0
0,ATH,2020-09-30,1058000000,2020-09-30,191088000000.0,2020-09-30,15943000000.0,2020-09-30,-97000000.0
1,ATH,2020-06-30,1119000000,2020-06-30,183241000000.0,2020-06-30,14711000000.0,2020-06-30,-97000000.0
2,ATH,2020-03-31,-1358000000,2020-03-31,142179000000.0,2020-03-31,9940000000.0,2020-03-31,-328000000.0
3,ATH,2019-12-31,577000000,2019-12-31,146875000000.0,2019-12-31,13391000000.0,2019-12-31,-284000000.0
0,LUV,2020-09-30,-1577000000,2020-09-30,35605000000.0,2020-09-30,9769000000.0,2020-09-30,
1,LUV,2020-06-30,-2154000000,2020-06-30,35596000000.0,2020-06-30,10878000000.0,2020-06-30,
2,LUV,2020-03-31,-110000000,2020-03-31,26885000000.0,2020-03-31,9075000000.0,2020-03-31,-451000000.0
3,LUV,2019-12-31,656000000,2019-12-31,25895000000.0,2019-12-31,9832000000.0,2019-12-31,-550000000.0
0,ATRS,2020-09-30,5850000,2020-09-30,155574000.0,2020-09-30,65241000.0,2020-09-30,-16000.0
1,ATRS,2020-06-30,3042000,2020-06-30,143124000.0,2020-06-30,57329000.0,2020-06-30,-753000.0
2,ATRS,2020-03-31,-1371000,2020-03-31,136804000.0,2020-03-31,53798000.0,2020-03-31,-597000.0
3,ATRS,2019-12-31,5567000,2019-12-31,132751000.0,2019-12-31,54500000.0,2019-12-31,-54000.0
0,RWT,2020-09-30,0,2020-09-30,10402412000.0,2020-09-30,1053464000.0,2020-09-30,-21734000.0
1,RWT,2020-06-30,0,2020-06-30,10361542000.0,2020-06-30,936576000.0,2020-06-30,-302000.0
2,RWT,2020-03-31,0,2020-03-31,12300790000.0,2020-03-31,725202000.0,2020-03-31,-2632000.0
3,RWT,2019-12-31,0,2019-12-31,17995440000.0,2019-12-31,1827231000.0,2019-12-31,-5471000.0
0,CNNE,2020-09-30,-28400000,2020-09-30,3868600000.0,2020-09-30,3260000000.0,2020-09-30,
1,CNNE,2020-06-30,-45700000,2020-06-30,3788600000.0,2020-06-30,3117900000.0,2020-06-30,-3600000.0
2,CNNE,2020-03-31,-45600000,2020-03-31,2705100000.0,2020-03-31,2180500000.0,2020-03-31,-10800000.0
3,CNNE,2019-12-31,-53200000,2019-12-31,2092200000.0,2019-12-31,1488500000.0,2019-12-31,-10800000.0
0,SAN,2020-09-30,0,2020-09-30,1514242000000.0,2020-09-30,81746000000.0,2020-09-30,
1,SAN,2020-06-30,0,2020-06-30,1572881000000.0,2020-06-30,82262000000.0,2020-06-30,-141000000.0
2,SAN,2020-03-31,0,2020-03-31,1540359000000.0,2020-03-31,96378000000.0,2020-03-31,-313000000.0
3,SAN,2019-12-31,0,2019-12-31,1522695000000.0,2019-12-31,100071000000.0,2019-12-31,-313000000.0
0,MWA,2020-09-30,43000000,2020-09-30,1395000000.0,2020-09-30,640700000.0,2020-09-30,-200000.0
1,MWA,2020-06-30,34500000,2020-06-30,1340600000.0,2020-06-30,609700000.0,2020-06-30,-200000.0
2,MWA,2020-03-31,37500000,2020-03-31,1328200000.0,2020-03-31,606500000.0,2020-03-31,-5000000.0
3,MWA,2019-12-31,23400000,2019-12-31,1309000000.0,2019-12-31,595000000.0,2019-12-31,-700000.0
0,GIL,2020-09-27,73497000,2020-09-27,2956137000.0,2020-09-27,1475555000.0,2020-09-27,
1,GIL,2020-06-28,-180132000,2020-06-28,3251590000.0,2020-06-28,1410279000.0,2020-06-28,-160000.0
2,GIL,2020-03-29,20446000,2020-03-29,3694904000.0,2020-03-29,1642754000.0,2020-03-29,-23216000.0
3,GIL,2019-12-29,99543000,2019-12-29,3211070000.0,2019-12-29,1834494000.0,2019-12-29,-141801000.0
0,WNC,2020-09-30,8439000,2020-09-30,1196082000.0,2020-09-30,397365000.0,2020-09-30,
1,WNC,2020-06-30,4309000,2020-06-30,1142265000.0,2020-06-30,393217000.0,2020-06-30,-14000.0
2,WNC,2020-03-31,-2942000,2020-03-31,1225411000.0,2020-03-31,393969000.0,2020-03-31,-10051000.0
3,WNC,2019-12-31,31781000,2019-12-31,1304591000.0,2019-12-31,520988000.0,2019-12-31,-11055000.0
0,SINT,2020-09-30,-2428000,2020-09-30,32633000.0,2020-09-30,27536000.0,2020-09-30,
1,SINT,2020-06-30,-1984000,2020-06-30,24585000.0,2020-06-30,19196000.0,2020-06-30,
2,SINT,2020-03-31,-1854000,2020-03-31,15363000.0,2020-03-31,11208000.0,2020-03-31,
3,SINT,2019-12-31,-1641000,2019-12-31,9147000.0,2019-12-31,5202000.0,2019-12-31,-79000.0
0,TCMD,2020-09-30,6194000,2020-09-30,157750000.0,2020-09-30,109119000.0,2020-09-30,-39000.0
1,TCMD,2020-06-30,-3938000,2020-06-30,141530000.0,2020-06-30,103385000.0,2020-06-30,-393000.0
2,TCMD,2020-03-31,-4451000,2020-03-31,155519000.0,2020-03-31,113040000.0,2020-03-31,-1160000.0
3,TCMD,2019-12-31,7197000,2019-12-31,151752000.0,2019-12-31,112595000.0,2019-12-31,-284000.0
0,VIVE,2020-09-30,-3404000,2020-09-30,19926000.0,2020-09-30,11089000.0,2020-09-30,
1,VIVE,2020-06-30,-4941000,2020-06-30,20532000.0,2020-06-30,10627000.0,2020-06-30,
2,VIVE,2020-03-31,-5827000,2020-03-31,21432000.0,2020-03-31,12551000.0,2020-03-31,
3,VIVE,2019-12-31,-7053000,2019-12-31,26977000.0,2019-12-31,16521000.0,2019-12-31,-1000.0
0,BIG,2020-10-31,42500000,2020-10-31,4204396000.0,2020-10-31,1256302000.0,2020-10-31,-100690000.0
1,BIG,2020-08-01,145590000,2020-08-01,4169490000.0,2020-08-01,1328160000.0,2020-08-01,-11000.0
2,BIG,2020-05-02,74435000,2020-05-02,3321786000.0,2020-05-02,883933000.0,2020-05-02,-1940000.0
3,BIG,2020-02-01,85132000,2020-02-01,3189281000.0,2020-02-01,845464000.0,2020-02-01,-5000.0
0,IMAC,2020-09-30,-1307753,2020-09-30,19374231.0,2020-09-30,8895782.0,2020-09-30,-38004.0
1,IMAC,2020-06-30,-2125439,2020-06-30,21860586.0,2020-06-30,10285055.0,2020-06-30,-38004.0
2,IMAC,2020-03-31,-1993945,2020-03-31,21103552.0,2020-03-31,9699523.0,2020-03-31,-38004.0
3,IMAC,2019-12-31,-1091562,2019-12-31,20418078.0,2019-12-31,10017491.0,2019-12-31,-38004.0
0,TFSL,2020-09-30,0,2020-09-30,14642221000.0,2020-09-30,1671853000.0,2020-09-30,-2000.0
1,TFSL,2020-06-30,0,2020-06-30,14834743000.0,2020-06-30,1655476000.0,2020-06-30,-107000.0
2,TFSL,2020-03-31,0,2020-03-31,15002343000.0,2020-03-31,1655164000.0,2020-03-31,-240000.0
3,TFSL,2019-12-31,0,2019-12-31,14806191000.0,2019-12-31,1728949000.0,2019-12-31,-1971000.0
0,ASGN,2020-09-30,80900000,2020-09-30,3211600000.0,2020-09-30,1524200000.0,2020-09-30,-1100000.0
1,ASGN,2020-06-30,76000000,2020-06-30,3065500000.0,2020-06-30,1457100000.0,2020-06-30,-1000000.0
2,ASGN,2020-03-31,73400000,2020-03-31,3017500000.0,2020-03-31,1399500000.0,2020-03-31,-32800000.0
