,ticker,so
311,MHD,14209700
312,MFL,37896200
313,MUJ,30087200
314,MHN,31132000
315,MUE,22520800
316,MUS,13018300
317,MVT,21339900
318,MYC,21419500
319,MCA,34405700
320,MYD,46919700
321,MYF,13714000
322,MFT,8478720
323,MIY,29509500
324,MYJ,24158100
325,MYN,39586600
326,MPA,13308200
327,MQT,22558000
328,MYI,68150704
329,MQY,30715400
330,BNY,12976100
331,BSE,6519660
332,BFY,5004920
333,BCX,90075296
334,BST,24167100
335,BSTZ,78090000
336,BSD,7308170
337,BUI,17741200
338,BHV,1607660
339,BLK,152511008
340,BGB,44664400
341,BGX,12707800
342,BSL,15286200
343,BE,138307008
344,APRN,14032000
345,BXG,72484304
346,BVH,15624100
347,BXC,9461540
348,DCF,14963100
349,DHF,72707696
350,DMB,18387600
351,DSM,49421500
352,LEO,62209800
353,BA,564529984
354,BCC,39201200
355,BCEI,20834400
356,BOOT,28866900
357,BAH,137900000
358,BQ,90753000
359,BWA,244519008
360,BORR,208859008
361,SAM,9934620
362,BXP,155636000
363,BSX,1431920000
364,BOX,156544992
365,BYD,111540000
366,BPMP,52403000
367,BP,3377929984
368,BPT,21400000
369,BRC,48421600
370,BHR,36686700
371,BDN,170572992
372,BWG,20989800
373,LND,59182900
374,BAK,397872000
375,BRFS,807707008
376,MNRL,43315900
377,BFAM,60564300
378,BEDU,120549000
379,BSIG,79885296
380,BV,104903000
381,EAT,45289400
382,BCO,49433100
383,BMY,2259749888
384,VTOL,29710800
385,BTI,2294240000
386,BRX,296481984
387,BRMK,132236000
388,BR,115619000
389,BNL,37000000
390,BKD,183384992
391,BAM,1509549952
392,BBU,79913200
393,BIPC,44971100
394,BIP,295359008
395,RA,43890300
396,BEPC,114791000
397,BEP,183199008
398,BRO,284059008
399,BRT,17176400
400,BC,78342600
401,BKE,49407700
402,BVN,253987008
403,BBW,15591600
404,BG,139643008
405,BUR,219050000
406,BURL,66163600
407,BWXT,95309600
408,BY,38583900
409,CABO,6020340
410,CBT,56461500
411,COG,398580000
412,CACI,25218800
413,WHD,47549400
414,CADE,125979000
415,CAE,265796992
416,CAI,17742400
417,CAL,37912200
418,CRC,0
419,CWT,49840000
420,CALX,61772900
421,ELY,94179504
422,CPT,97395600
423,CCJ,395846016
424,CPB,302271008
425,CWH,42757300
426,GOOS,59142600
427,CM,446008992
428,CNI,710200000
429,CNQ,1181059968
430,CP,135534000
431,CANG,150972992
432,CNNE,91656200
433,CAJ,1045779968
434,CMD,42154300
435,COF,457396992
436,CSU,31914300
437,BXMT,146198000
438,CPRI,150647008
439,CPSR,27600000
440,CMO,96480800
441,CAH,293420992
442,CSL,53378900
443,KMX,164087008
444,CCL,861699968
445,CUK,882672000
446,CRS,48018400
447,CSV,17969800
448,CARR,866686976
449,CARS,67386200
450,CRI,43647600
451,CVNA,70578704
452,CSPR,40531500
453,CSLT,118751000
454,CTLT,164698000
455,CTT,48765500
456,CAT,543257984
457,CATO,22194200
458,CBZ,54531500
459,IGR,116590000
460,CBRE,335456000
461,PCPL,41400000
462,PRPB,82800000
463,FUN,56706300
464,CDR,89308800
465,CE,116895000
466,CLS,110456000
467,CEL,162775008
468,CPAC,85621400
469,CX,1510710016
470,CVE,1228870016
471,CNC,579798016
472,CEN,4926500
473,CNP,544819008
474,EBR,1569080064
475,CEPU,151402000
476,CCS,33350600
477,LUMN,1097129984
478,CDAY,147803008
479,CF,213916000
480,GIB,230370000
481,CHX,199832992
482,CHRA,29992800
483,CRL,49742600
484,CLDT,46972400
485,CMCM,139807008
486,CHGG,128811000
487,CHE,15951800
488,CC,164452992
489,CHMI,17076900
490,CPK,17460900
491,CVX,1925010048
492,CHWY,95156496
493,CHS,119892000
494,CIM,233731008
495,DL,33830100
496,CEA,327590016
497,CHN,10477400
498,CGA,6350130
499,LFC,5652939776
500,CHL,4095099904
501,COE,21407400
502,SNP,1210710016
503,ZNH,306585984
504,CHA,809320000
505,CHU,3059800064
506,CYD,40858300
507,CMG,27980300
508,CHH,55458100
509,CB,451360000
510,CHT,775745024
511,CHD,248450000
512,CCX,69000000
513,CCIV,207000000
514,CIEN,154320000
515,CI,361267008
516,XEC,102048000
517,CBB,50680600
518,CNK,118158000
519,CINR,19767300
520,CIR,19998100
521,CIT,98526496
522,CCAC,27600000
523,BLW,35739100
524,C,2082000000
525,CFG,427072992
526,CIA,49518300
527,CIO,43397100
528,CVEO,170582000
529,CCC,626184000
530,CLH,55246300
531,CCO,467328992
532,EMO,14342800
533,CEM,14083000
534,CTR,7680030
535,CLW,16573200
536,CWEN,81558800
537,CLF,399241984
538,CLPR,17768800
539,CLX,126050000
540,CLDR,312564992
541,NET,233914000
542,CMS,286334016
543,CNA,271388992
544,CNF,68582200
545,CNHI,1351330048
546,CNO,138984992
547,CEO,446475008
548,CNX,224528992
549,KOF,210083008
550,KO,4297430016
551,CCEP,454560000
552,CDE,243734000
553,FOF,27228300
554,CNS,47785700
555,UTF,93522800
556,MIE,26903200
557,RQI,134243008
558,RNP,47582200
559,PSF,12009700
560,RFI,26205200
561,CRHC,82800000
562,CFX,118389000
563,CFXA,117199000
564,CL,857169024
565,CXE,31521500
566,CIF,19260200
567,CXH,9110240
568,CMU,28325300
569,CLA,20000000
570,CLNY,481628000
571,CLNC,128583000
572,CXP,114464000
573,STK,15891800
574,CMA,139088000
575,FIX,36394800
576,CMC,119069000
577,CBU,53541700
578,CYH,119621000
579,CHCT,23430000
580,CIG,1580640000
581,CBD,268112992
582,SBS,683510016
583,ELP,273656000
584,CCU,184751008
585,CODI,64900000
586,CMP,33955100
587,CRK,232420992
588,CAG,488518016
589,CXO,196304992
590,CCM,43414000
591,CNMD,28601600
592,COP,1067960000
593,CCR,27690300
594,CEIX,26034700
595,ED,334859008
596,STZ,169504992
597,CSTM,139963008
598,TCS,50555100
599,CLR,365233984
600,VLRS,99378800
601,CTRA,18308800
602,CTB,50306100
603,CPS,16896500
604,CTK,61807100
605,CPA,31406000
606,CLB,44494700
607,CXW,119634000
608,CLGX,77778704
609,CORR,13651500
610,CPLG,58161000
611,COR,42766600
612,CNR,125102000
613,GLW,764009984
614,CAAP,160022000
615,OFC,112175000
616,CTVA,745016000
617,CZZ,134706000
618,CMRE,121494000
619,COTY,765902976
620,CUZ,148564000
621,CVA,131982000
622,CR,58108000
623,BAP,79405000
624,CS,2441600000
625,CPG,530036000
626,CEQP,73533800
627,CRH,785019008
628,CRT,6000000
629,CAPL,37868000
630,CCI,431000000
631,CCK,134763008
632,CRY,38857400
633,CTS,32268000
634,CUBE,195266000
635,CUB,31329000
636,CFR,62854600
637,CULP,12297800
638,CMI,148007008
639,CURO,40885100
640,CW,41577000
641,SRV,2183390
642,SZC,2601710
643,CWK,221630000
644,CUBI,31601300
645,CVI,100531000
646,UAN,110989000
647,CVS,1308909952
648,CELP,12211700
649,DHI,364000000
650,DEH,34500000
651,DAN,144491008
652,DHR,710377024
653,DAC,20450000
654,DQ,69483800
655,DRI,130081000
656,DAR,162068000
657,MSP,157548992
658,DVA,121989000
659,DCP,208352000
660,DECK,28084100
661,DE,313375008
662,DEX,12007300
663,DDF,7688160
664,DKL,43433200
665,DK,73725800
666,DELL,260566000
667,DAL,637734016
668,DLX,41894000
669,DEN,50000000
670,DBI,64591100
671,DESP,69946400
672,DB,2064499968
673,DVN,382500000
674,DHX,52437300
675,DHT,170798000
676,DEO,584683008
677,DSSI,40440200
678,DRH,199519008
679,DSX,89275000
680,DKS,65146600
681,DBD,77678400
682,DMS,32392600
683,DLR,280164992
684,DDS,17989600
685,DIN,16418700
686,DFS,306496000
687,DMYT,23000000
688,DMYD,27600000
689,DLB,64219900
690,DG,249034000
691,D,815819008
692,DCUE,655083008
693,DPZ,39399900
694,UFS,55194500
695,DCI,126396000
696,DFIN,33375400
697,LPG,50881900
698,DSL,101957000
699,DBL,14953700
700,PLOW,22857500
701,DEI,175375008
702,DOV,143970000
703,DVD,17862400
704,DOW,741752000
705,RDY,165902000
706,DGNR,69000000
707,DRD,85511400
708,DRQ,35095800
709,DS,67227904
710,DTE,193560000
711,DCO,11714600
712,DSE,2623350
713,DNP,303743008
714,DTF,8520680
715,DUC,27494700
716,DPG,37929800
717,DUK,735958976
718,DRE,371951008
719,DNB,423039008
720,DD,733849984
721,DXC,254412000
722,DY,31839200
723,DLNG,35612600
724,DT,282096992
725,DX,23145200
726,ELF,51033300
727,EXP,41817900
728,ECCB,23117600
729,ESTE,30210700
730,DEA,81231400
731,EGP,39556900
732,EMN,135468000
733,KODK,77163296
734,ETN,398600000
735,ETV,90855504
736,ETW,107487000
737,EV,114173000
738,EOI,39323900
739,EOS,49698200
740,EFT,39863700
741,EFL,23621600
742,EFF,7606420
743,EHT,21461700
744,EOT,15313400
745,EVN,39667200
746,ETJ,63830000
747,EFR,36848300
748,EVF,37866600
749,EVG,17880600
750,EVT,73507600
751,ETO,15681200
752,ETG,76300200
753,ETB,26883200
754,EXD,9731590
755,ETY,151716992
756,EXG,302863008
757,ECL,285444992
758,EC,2055830016
759,EPC,54355200
760,EIX,378513984
761,EW,623248000
762,ELAN,471915008
763,ESTC,86784400
764,EGO,174799008
765,ESI,247212992
766,ELVT,38070400
767,LLY,956582016
768,EFC,43781700
769,EARN,12334600
770,ERJ,184043008
771,EME,54930600
772,EEX,71440704
773,EBS,52999100
774,EMR,598038976
775,ESRT,170950000
776,EIG,29019200
777,EDN,43753700
778,ENBL,435475008
779,ENB,2025219968
780,EHC,99432496
781,DAVA,60602100
782,EXK,157472000
783,ENIA,1521730048
784,ENIC,1383330048
785,ENR,68517504
786,ET,2697720064
787,EPAC,59769000
788,ERF,222548000
789,ENS,42577300
790,E,1771980032
791,ENLC,489747008
792,EBF,26093900
793,ENVA,35666100
794,NPO,20536000
795,ETM,133940000
796,ETR,200232000
797,EPD,2182880000
798,EVC,59905400
799,ENV,53949800
800,NVST,159642000
801,EVA,39767500
802,ENZ,47895000
803,EOG,583377984
804,EPAM,55988900
805,EPR,74615200
806,EQT,275599008
807,EFX,121643000
808,EQNR,3246149888
809,EQH,444684000
810,ETRN,432470016
811,EQC,121525000
812,EQD,41400000
813,ELS,182224992
814,EQR,372252992
815,EQS,13518100
816,ESGC,185318000
817,ESE,26037700
818,ESNT,112423000
819,EPRT,104672000
820,WTRG,245272000
821,ESS,65204600
822,EL,226538000
823,ETH,25053100
824,EURN,203955008
825,EEA,7455230
826,EB,68281696
827,EVR,40590800
828,RE,39965700
829,EVRG,226832000
830,EVRI,85928304
831,ES,342668000
832,EVTC,71862896
833,EVH,85778704
834,AQUA,117199000
835,XAN,32093300
836,ENPC,16805600
837,EXPR,64837700
838,EXTN,33127000
