,endDate,totalAssets,ticker
160,2020-09-30,534125000.0,CORT
161,2020-06-30,497823000.0,CORT
162,2020-03-31,445494000.0,CORT
163,2019-12-31,412312000.0,CORT
164,2020-09-30,1088721000.0,OPRA
165,2020-06-30,963594000.0,OPRA
166,2020-03-31,1054791000.0,OPRA
167,2019-12-31,1060620000.0,OPRA
168,2020-09-30,55635000.0,BFRA
169,2020-06-30,51963000.0,BFRA
170,2020-03-31,50451000.0,BFRA
171,2019-12-31,58363000.0,BFRA
172,2020-09-30,1356772000.0,RIVE
173,2020-06-30,1346800000.0,RIVE
174,2020-03-31,1117043000.0,RIVE
175,2019-12-31,1079954000.0,RIVE
176,2020-06-30,4769989000.0,TOUR
177,2020-03-31,5735361000.0,TOUR
178,2019-12-31,6596620000.0,TOUR
179,2019-09-30,7143364000.0,TOUR
180,2020-09-30,2456017000.0,GFF
181,2020-06-30,2310220000.0,GFF
182,2020-03-31,2318747000.0,GFF
183,2019-12-31,2257802000.0,GFF
184,2020-07-31,988397000.0,DSGX
185,2020-04-30,946957000.0,DSGX
186,2020-01-31,942586000.0,DSGX
187,2019-10-31,942542000.0,DSGX
188,2020-09-27,10703177000.0,HAS
189,2020-06-28,10222050000.0,HAS
190,2020-03-29,10424359000.0,HAS
191,2019-12-29,8855628000.0,HAS
192,2020-09-30,813772000.0,FI
193,2020-06-30,853982000.0,FI
194,2020-03-31,885640000.0,FI
195,2019-12-31,994165000.0,FI
196,2020-09-30,3387588000.0,SMBK
197,2020-06-30,3265985000.0,SMBK
198,2020-03-31,2873715000.0,SMBK
199,2019-12-31,2449123000.0,SMBK
200,2020-06-30,47802000000.0,CRH
201,2020-03-31,47802000000.0,CRH
202,2019-12-31,37310000000.0,CRH
203,2019-09-30,37310000000.0,CRH
204,2020-09-30,7483259000.0,MFA
205,2020-06-30,7567408000.0,MFA
206,2020-03-31,11130337000.0,MFA
207,2019-12-31,13567364000.0,MFA
208,2020-09-30,33438000000.0,DISCK
209,2020-06-30,33089000000.0,DISCK
210,2020-03-31,33390000000.0,DISCK
211,2019-12-31,33735000000.0,DISCK
212,2020-09-30,7881000000.0,MOH
213,2020-06-30,7876000000.0,MOH
214,2020-03-31,7129000000.0,MOH
215,2019-12-31,6787000000.0,MOH
216,2020-09-30,161210000.0,KZR
217,2020-06-30,168323000.0,KZR
218,2020-03-31,134644000.0,KZR
219,2019-12-31,89513000.0,KZR
220,2020-09-30,2200070000.0,OR
221,2020-06-30,2128588000.0,OR
222,2020-03-31,2016189000.0,OR
223,2019-12-31,1947253000.0,OR
224,2020-06-30,23980768000.0,QFIN
225,2020-03-31,22826812000.0,QFIN
226,2019-12-31,20355601000.0,QFIN
227,2019-09-30,18677674000.0,QFIN
228,2020-09-30,63589535.0,TDAC
229,2020-06-30,70122395.0,TDAC
230,2020-03-31,75851071.0,TDAC
231,2019-12-31,74536195.0,TDAC
232,2020-09-30,116465000.0,IIN
233,2020-06-30,116052000.0,IIN
234,2020-03-31,111718000.0,IIN
235,2019-12-31,113593000.0,IIN
236,2020-09-30,71552000.0,SMSI
237,2020-06-30,73102000.0,SMSI
238,2020-03-31,68350000.0,SMSI
239,2019-12-31,61197000.0,SMSI
240,2020-08-31,43767055.0,TAYD
241,2020-05-31,45075894.0,TAYD
242,2020-02-29,44028398.0,TAYD
243,2019-11-30,43905675.0,TAYD
244,2020-09-30,44421118000.0,AER
245,2020-06-30,45193774000.0,AER
246,2020-03-31,47144828000.0,AER
247,2019-12-31,43749244000.0,AER
248,2020-06-30,278482816.0,TSI
249,2020-03-31,278482816.0,TSI
250,2019-12-31,280520051.0,TSI
251,2019-09-30,280520051.0,TSI
252,2020-09-30,612997000.0,RETA
253,2020-06-30,652404000.0,RETA
254,2020-03-31,664197000.0,RETA
255,2019-12-31,682420000.0,RETA
256,2020-09-30,42938000000.0,FE
257,2020-06-30,42403000000.0,FE
258,2020-03-31,42090000000.0,FE
259,2019-12-31,42301000000.0,FE
260,2020-09-30,5308000000.0,KBR
261,2020-06-30,5010000000.0,KBR
262,2020-03-31,5104000000.0,KBR
263,2019-12-31,5364000000.0,KBR
264,2020-09-30,23724815.0,AKER
265,2020-06-30,18677738.0,AKER
266,2020-03-31,9121799.0,AKER
267,2019-12-31,10884935.0,AKER
268,2020-06-30,5451233000.0,CCM
269,2020-03-31,5451233000.0,CCM
270,2019-12-31,4297445000.0,CCM
271,2019-09-30,4297445000.0,CCM
272,2020-06-30,490531220.0,BLCT
273,2020-03-31,463629441.0,BLCT
274,2019-06-30,,BLCT
275,2019-03-31,,BLCT
276,2020-09-30,13701000000.0,COMM
277,2020-06-30,14138200000.0,COMM
278,2020-03-31,13872800000.0,COMM
279,2019-12-31,14431600000.0,COMM
280,2020-09-30,6434492000.0,HMI
281,2020-06-30,5200414000.0,HMI
282,2020-03-31,4711732000.0,HMI
283,2019-12-31,5174743000.0,HMI
284,2020-09-30,39443000000.0,CSX
285,2020-06-30,38904000000.0,CSX
286,2020-03-31,38834000000.0,CSX
287,2019-12-31,38257000000.0,CSX
288,2020-09-30,58964066.0,MCAC
289,2020-06-30,59077694.0,MCAC
290,2020-03-31,181326.0,MCAC
291,2020-09-30,444923000.0,TCX
292,2020-06-30,442191000.0,TCX
293,2020-03-31,437840000.0,TCX
294,2019-12-31,425918000.0,TCX
295,2020-09-30,5107088000.0,ESNT
296,2020-06-30,4899948000.0,ESNT
297,2020-03-31,4186934000.0,ESNT
298,2019-12-31,3873425000.0,ESNT
299,2020-09-30,71638000.0,ASM
300,2020-06-30,70970000.0,ASM
301,2020-03-31,67420000.0,ASM
302,2019-12-31,72571000.0,ASM
303,2020-09-30,184556000.0,BCOV
304,2020-06-30,176455000.0,BCOV
305,2020-03-31,179371000.0,BCOV
306,2019-12-31,172867000.0,BCOV
307,2020-09-30,15978415000.0,MPW
308,2020-06-30,15448070000.0,MPW
309,2020-03-31,15238087000.0,MPW
310,2019-12-31,14467331000.0,MPW
311,2020-09-30,507739000.0,HVBC
312,2020-06-30,424738000.0,HVBC
313,2020-03-31,355586000.0,HVBC
314,2019-12-31,354586000.0,HVBC
315,2020-09-30,128080000000.0,ICE
316,2020-06-30,124060000000.0,ICE
317,2020-03-31,138901000000.0,ICE
318,2019-12-31,94493000000.0,ICE
319,2020-09-30,7294000000.0,PSXP
320,2020-06-30,7203000000.0,PSXP
321,2020-03-31,6997000000.0,PSXP
322,2019-12-31,6961000000.0,PSXP
323,2020-09-30,20761000000.0,BG
324,2020-06-30,18559000000.0,BG
325,2020-03-31,18596000000.0,BG
326,2019-12-31,18317000000.0,BG
327,2020-06-30,1105523000.0,PRTC
328,2020-03-31,1105523000.0,PRTC
329,2019-12-31,941178000.0,PRTC
330,2019-09-30,941178000.0,PRTC
331,2020-09-30,3587041000.0,CCBG
332,2020-06-30,3499524000.0,CCBG
333,2020-03-31,3086523000.0,CCBG
334,2019-12-31,3088953000.0,CCBG
335,2020-09-30,75508090000.0,FUTU
336,2020-06-30,42961555000.0,FUTU
337,2020-03-31,,FUTU
338,2019-12-31,21399924000.0,FUTU
339,2020-09-30,286100000.0,SWTX
340,2020-06-30,301020000.0,SWTX
341,2020-03-31,317408000.0,SWTX
342,2019-12-31,334831000.0,SWTX
343,2020-09-30,541625000.0,HFBL
344,2020-06-30,518220000.0,HFBL
345,2020-03-31,460498000.0,HFBL
346,2019-12-31,455295000.0,HFBL
347,2020-09-30,2101261000.0,ENV
348,2020-06-30,1831405000.0,ENV
349,2020-03-31,1830458000.0,ENV
350,2019-12-31,1801884000.0,ENV
351,2020-09-30,148892000.0,GNE
352,2020-06-30,142421000.0,GNE
353,2020-03-31,157176000.0,GNE
354,2019-12-31,156244000.0,GNE
355,2020-10-03,3278905000.0,BGS
356,2020-06-27,3251822000.0,BGS
357,2020-03-28,3318784000.0,BGS
358,2019-12-28,3227590000.0,BGS
359,2020-09-30,144858000.0,STTK
360,2020-06-30,155544000.0,STTK
361,2020-03-31,155544000.0,STTK
362,2019-09-30,,STTK
363,2020-09-30,889625000.0,VECO
364,2020-06-30,865070000.0,VECO
365,2020-03-31,832886000.0,VECO
366,2019-12-31,818088000.0,VECO
367,2020-09-30,35931000000.0,LNG
368,2020-06-30,35846000000.0,LNG
369,2020-03-31,35747000000.0,LNG
370,2019-12-31,35492000000.0,LNG
371,2020-09-30,11093999000.0,FLT
372,2020-06-30,10626717000.0,FLT
373,2020-03-31,11310150000.0,FLT
374,2019-12-31,12248541000.0,FLT
375,2020-09-30,1844338000.0,CIA
376,2020-06-30,1812936000.0,CIA
377,2020-03-31,1713287000.0,CIA
378,2019-12-31,1744936000.0,CIA
379,2020-09-27,21568000000.0,CMI
380,2020-06-28,20314000000.0,CMI
381,2020-03-29,20076000000.0,CMI
382,2019-12-31,19737000000.0,CMI
383,2020-09-30,831846000.0,LCUT
384,2020-06-30,753802000.0,LCUT
385,2020-03-31,758469000.0,LCUT
386,2019-12-31,770023000.0,LCUT
387,2020-06-30,17905058000.0,VNET
388,2020-03-31,15460390000.0,VNET
389,2019-12-31,14273706000.0,VNET
390,2019-09-30,13643414000.0,VNET
391,2020-08-01,116479000.0,ALOT
392,2020-05-02,120000000.0,ALOT
393,2020-01-31,116664000.0,ALOT
394,2019-11-02,121365000.0,ALOT
395,2020-09-30,567640000.0,TG
396,2020-06-30,658807000.0,TG
397,2020-03-31,663186000.0,TG
398,2019-12-31,712668000.0,TG
399,2020-06-30,430652000.0,TOPS
400,2020-03-31,430652000.0,TOPS
401,2019-12-31,444890000.0,TOPS
402,2019-09-30,444890000.0,TOPS
403,2020-09-30,552272000.0,ARRY
404,2020-06-30,557978000.0,ARRY
405,2020-03-31,557978000.0,ARRY
406,2019-09-30,,ARRY
407,2020-09-30,167759000.0,HDSN
408,2020-06-30,187235000.0,HDSN
409,2020-03-31,187729000.0,HDSN
410,2019-12-31,180153000.0,HDSN
411,2020-09-30,21112900000.0,ADS
412,2020-06-30,22867400000.0,ADS
413,2020-03-31,24234900000.0,ADS
414,2019-12-31,26494800000.0,ADS
415,2020-07-31,2516409000.0,VEEV
416,2020-04-30,2404619000.0,VEEV
417,2020-01-31,2271777000.0,VEEV
418,2019-10-31,1900441000.0,VEEV
419,2020-09-30,45069000000.0,CNHI
420,2020-06-30,45019000000.0,CNHI
